table_name,column_name,final_bucket
careplancareprovider,interventioncategory,categorical_text
careplancareprovider,managingphysician,categorical_text
careplancareprovider,providertype,categorical_text
careplancareprovider,specialty,categorical_text
careplangeneral,cplgroup,categorical_text
diagnosis,diagnosispriority,categorical_text
lab,labname,categorical_text
medication,drugname,categorical_text
medication,frequency,categorical_text
medication,routeadmin,categorical_text
note,notetype,categorical_text
nursecharting,nursingchartcelltypecat,categorical_text
nursecharting,nursingchartcelltypevallabel,categorical_text
pasthistory,pasthistorynotetype,categorical_text
patient,ethnicity,categorical_text
patient,gender,categorical_text
patient,hospitaladmitsource,categorical_text
patient,unitadmitsource,categorical_text
patient,unitstaytype,categorical_text
patient,unittype,categorical_text
respiratorycharting,respcharttypecat,categorical_text
respiratorycharting,respchartvaluelabel,categorical_text
admissiondx,admitdxpath,hierarchical_structured_text
diagnosis,diagnosisstring,hierarchical_structured_text
intakeoutput,cellpath,hierarchical_structured_text
note,notepath,hierarchical_structured_text
pasthistory,pasthistorypath,hierarchical_structured_text
physicalexam,physicalexampath,hierarchical_structured_text
treatment,treatmentstring,hierarchical_structured_text
careplangeneral,cplitemvalue,mixed_text
